,GENECARDS,ID
1,KCNAB2,Q13303
2,CAMTA1,Q9Y6Y1
3,WDTC1,Q8N5D0
4,TMEM39B,Q9GZU3
5,MROH7-TTC4,A0A0A0MT08
6,MROH7-TTC4,F8WC02
7,FPGT-TNNI3K,A0A3B3ITB1
8,FPGT-TNNI3K,A6NHC7
9,FPGT-TNNI3K,E9PKE1
10,FPGT-TNNI3K,V9GXZ4
11,AGL,P35573
12,FDPS,P14324
13,SYT11,Q9BT88
14,CEP350,Q5VT06
15,KCTD3,Q9Y597
16,FAM149B1,Q96BN6
17,INPP5F,Q9Y2H2
18,LHPP,Q9H008
19,TKFC,Q3LXA3
20,RTN3,O95197
21,DPP3,Q9NY33
22,RBM4,Q9BWF3
23,NEU3,Q9UQ49
24,AAMDC,Q9H7C9
25,ABCG4,Q9H172
26,DNM1L,O00429
27,DIP2B,Q9P265
28,DGKA,P23743
29,SYT1,P21579
30,PLBD2,Q8NHP8
31,GLT1D1,Q96MS3
32,BORA,Q6PGQ7
33,CDC16,Q13042
34,LRFN5,Q96NI6
35,KLHDC1,Q8N7A1
36,KTN1,Q86UP2
37,KLC1,Q07866
38,CKMT1A,P12532
39,GALK2,Q01415
40,SNX1,Q13596
41,HACD3,Q9P035
42,SCAMP5,Q8TAC9
43,NEIL1,Q96FI4
44,PHKB,Q93100
45,PLA2G15,Q8NCC3
46,ZNRF1,Q8ND25
47,DYNLRB2,Q8TF09
48,JPH3,Q8WXH2
49,TUBG2,Q9NRH3
50,ACBD4,Q8NC06
51,ZNF554,Q86TJ5
52,RFXANK,O14593
53,UBA2,Q9UBT2
54,ZNF420,Q8TAQ5
55,ZNF880,Q6PDB4
56,SLC1A4,P43007
57,ZNF638,Q14966
58,PTPN18,Q99952
59,R3HDM1,Q15032
60,MBD5,Q9P267
61,PSMD14,O00487
62,GULP1,Q9UBP9
63,ABI2,Q9NYB9
64,EEF1B2,P24534
65,DNAJB2,P25686
66,ARMC9,Q7Z3E5
67,UBE2F-SCLY,H3BSR4
68,UBE2F-SCLY,H3BUI7
69,SNED1,Q8TER0
70,SNAP25,P60880
71,DSTN,P60981
72,BCAS4,Q8TDM0
73,PCBP3,P57721
74,TTC38,Q5R3I4
75,BRK1,Q8WUW1
76,GOLGA4,Q13439
77,C3orf14,Q9HBI5
78,CLDN11,O75508
79,ZNF639,Q9UID6
80,EIF2B5,Q13144
81,CHRD,Q9H2X0
82,VPS8,Q8N3P4
83,OPA1,O60313
84,GRK4,P32298
85,ART3,Q13508
86,COPS4,Q9BT78
87,METAP1,P53582
88,LARP1B,Q659C4
89,GLRB,P48167
90,KLHL2,O95198
91,PDCD6,O75340
92,COMMD10,Q9Y6G5
93,HSD17B4,P51659
94,CXXC5,Q7LFL8
95,SLC6A7,Q99884
96,CNOT6,Q9ULM6
97,PSMG3-AS1,Q96PY0
98,CDK13,Q14004
99,UBE2D4,Q9Y2X8
100,DBNL,Q9UJU6
101,CCM2,Q9BSQ5
102,SUMF2,Q8NBJ7
103,CRCP,O75575
104,FKBP6,O75344
105,GTF2I,P78347
106,DMTF1,Q9Y222
107,CFAP69,A5D8W1
108,BCAP29,Q9UHQ4
109,AGAP3,Q96P47
110,TNKS,O95271
111,BAALC,Q8WXS3
112,NSMCE2,Q96MF7
113,LY6E,Q16553
114,KDM4C,Q9H3R0
115,WNK2,Q9Y3S1
116,CERCAM,Q5T4B2
117,CACNA1B,Q00975
118,GK,P32189
119,UBA1,P22314
120,GPR173,Q9NS66
121,IGBP1,P78318
122,SLC9A6,Q92581
123,FHL1,Q13642
124,ATP6AP1,Q15904
125,TXLNGY,Q9BZA5
126,PHACTR4,Q8IZ21
127,RBBP4,Q09028
128,NASP,P49321
129,EFCAB7,A8K855
130,ACADM,P11310
131,NDUFS2,O75306
132,TSNAX-DISC1,C4P0D4
133,TSNAX-DISC1,C4P0D6
134,TSNAX-DISC1,C4P0D8
135,TSNAX-DISC1,Q9NRI2
136,DDX50,Q9BQ39
137,ATRNL1,Q5VV63
138,PLEKHA1,Q9HB21
139,PRR5L,Q6MZQ0
140,EXT2,Q93063
141,C11orf49,Q9H6J7
142,ACER3,Q9NUN7
143,FDX1,P10109
144,PPHLN1,Q8NEY8
145,ACTR6,Q9GZN1
146,TMEM263,Q8WUH6
147,CUX2,O14529
148,TCTN2,Q96GX1
149,GPHN,Q9NQX3
150,CYFIP1,Q7L576
151,UBFD1,O14562
152,CHD9,Q3L8U1
153,WWP2,O00308
154,IST1,P53990
155,KAT7,O95251
156,LUC7L3,O95232
157,RAD51C,O43502
158,TBCD,Q9BTW9
159,PIK3C3,Q8NEB9
160,TNFRSF11A,Q9Y6Q6
161,ANKRD24,Q8TF21
162,CATSPERG,Q6ZRH7
163,MAP3K10,Q02779
164,HIF3A,Q9Y2N7
165,CACNG7,P62955
166,DYNC2LI1,Q8TCX1
167,ACYP2,P14621
168,CTNNA2,P26232
169,ELMOD3,Q96FG2
170,PTCD3,Q96EY7
171,GCC2,Q8IWJ2
172,KIF5C,O60282
173,SLC4A10,Q6U841
174,PIKFYVE,Q9Y2I7
175,GIGYF2,Q6Y7W6
176,PANK2,Q9BZ23
177,IFT52,Q9Y366
178,SYS1-DBNDD2,F2Z2A3
179,SYS1-DBNDD2,H3BUS1
180,MED15,Q96RN5
181,L3MBTL2,Q969R5
182,C3orf35,Q8IVJ8
183,ZNF621,Q6ZSS3
184,DNAH1,Q9P2D7
185,CACNA2D3,Q8IZS8
186,SYNPR,Q8TBG9
187,CHMP2B,Q9UQN3
188,GAP43,P17677
189,LARP7,Q4G0J3
190,INTU,Q9ULD6
191,NDUFS4,O43181
192,ZFYVE16,Q7Z3T8
193,ATP6AP1L,Q52LC2
194,TCOF1,Q13428
195,WWC1,Q8IX03
196,FAM153B,P0C7A2
197,ZNF391,Q9UJN7
198,CEP57L1,Q8IYX8
199,TBPL1,P62380
200,STARD3NL,O95772
201,ZNF862,O60290
202,SPIDR,Q14159
203,UBE2V2,Q15819
204,ZC2HC1A,Q96GY0
205,NDUFAF6,Q330K2
206,ZNF696,Q9H7X3
207,FOCAD,Q5VW36
208,ANP32B,Q92688
209,CNTRL,Q7Z7A1
210,KRBOX4,Q5JUW0
211,HPRT1,P00492
212,ZNF449,Q6P9G9
213,RER1,O15258
214,ARHGEF10L,Q9HCE6
215,B4GALT2,O60909
216,OSBPL9,Q96SU4
217,IFI44,Q8TCB0
218,SLC35A3,Q9Y2D2
219,NBPF10,Q6P3W6
220,FAM163A,Q96GL9
221,MARK1,Q9P0L2
222,NEURL1,O76050
223,RCN1,Q15293
224,PAAF1,Q9BRP4
225,CNTN1,Q12860
226,FRS2,Q8WU20
227,PRKAB1,Q9Y478
228,COG6,Q9Y2V7
229,RNASEH2B,Q5TBB1
230,UNC79,Q9P2D8
231,MEF2A,Q02078
232,LCMT1,Q9UIC8
233,VMP1,Q96GC9
234,PRPF31,Q8WWY3
235,USP39,Q53GS9
236,EIF5B,O60841
237,DCAF17,Q5H9S7
238,RPE,Q96AT9
239,CDC42EP1,Q00587
240,NUP50,Q9UKX7
241,GALNT15,Q8N3T1
242,PDCD6IP,Q8WUM4
243,WDR6,Q9NNW5
244,PCCB,P05166
245,MTHFD2L,Q9H903
246,CYFIP2,Q96F07
247,RUFY1,Q96T51
248,PI16,Q6UXB8
249,BCKDHB,P21953
250,CYB5R4,Q7L1T6
251,FAM185A,Q8N0U4
252,SSPO,A2VEC9
253,PCM1,Q15154
254,PPP3CC,P48454
255,CPNE3,O75131
256,ADGRB1,O14514
257,OCRL,Q01968
258,HSD17B7,P56937
259,TTYH1,Q9H313
260,SLX4IP,Q5VYV7
261,SLCO4A1,Q96BD0
262,PIGX,Q8TBF5
263,TRMT44,Q8IYL2
264,SCAMP1,O15126
265,THAP3,Q8WTV1
266,PDPN,Q86YL7
267,IGSF21,Q96ID5
268,PLA2G5,P39877
269,XKR8,Q9H6D3
270,AK5,Q9Y6K8
271,DDX20,Q9UHI6
272,SDHC,Q99643
273,TIMM17A,Q99595
274,TATDN3,Q17R31
275,ARV1,Q9H2C2
276,AKR1C1,Q04828
277,MLLT10,P55197
278,BTRC,Q9Y297
279,MXI1,P50539
280,ILK,Q13418
281,ANO3,Q9BYT9
282,SLC3A2,P08195
283,MRPL48,Q96GC5
284,MED17,Q9NVC6
285,DDX10,Q13206
286,EI24,O14681
287,P3H3,Q8IVL6
288,PPFIBP1,Q86W92
289,CPSF6,Q16630
290,VEZT,Q9HBM0
291,RPH3A,Q9Y2J0
292,DNAH10,Q8IVF4
293,PUS1,Q9Y606
294,UCHL3,P15374
295,DNAJC3,Q13217
296,UBAC2,Q8NBM4
297,RBM25,P49756
298,TUNAR,A0A1B0GTB2
299,SNRPN,P63162
300,APBA2,Q99767
301,GANC,Q8TET4
302,DTWD1,Q8N5C7
303,FBXO22,Q8NEZ5
304,MPV17L,Q2QL34
305,CNEP1R1,Q8N9A8
306,DEF8,Q6ZN54
307,GAS8,O95995
308,SGSM2,O43147
309,SENP3-EIF4A1,A0A087X0R7
310,RHOT1,Q8IXI2
311,WIPF2,Q8TF74
312,MYCBPAP,Q8TBZ2
313,RPS6KB1,P23443
314,SEC11C,Q9BY50
315,PIN1,Q13526
316,FCGRT,P55899
317,NDUFA3,O95167
318,ZNF444,Q8N0Y2
319,FAM228B,P0C875
320,VRK2,Q86Y07
321,GALNT13,Q8IUC8
322,MANBAL,Q9NQG1
323,PABPC1L,Q4VXU2
324,ARFGEF2,Q9Y6D5
325,CHAF1B,Q13112
326,TRAPPC10,P48553
327,DRG1,Q9Y295
328,EIF3L,Q9Y262
329,POLR2F,P61218
330,ARL6IP5,O75915
331,MAATS1,Q7Z4T9
332,STXBP5L,Q9Y2K9
333,ATP2C1,P98194
334,NDUFB5,O43674
335,KLHL24,Q6TFL4
336,PIGG,Q5H8A4
337,TBC1D19,Q8N5T2
338,DCUN1D4,Q92564
339,MOB1B,Q7L9L4
340,NDUFS6,O75380
341,NLN,Q9BYT8
342,MAST4,O15021
343,SLC12A2,P55011
344,NPM1,P06748
345,RMND5B,Q96G75
346,BEND6,Q5SZJ8
347,SMAP1,Q8IYB5
348,ANKRD6,Q9Y2G4
349,RSPH4A,Q5TD94
350,RNF217,Q8TC41
351,ZNF713,Q8N859
352,RABGEF1,Q9UJ41
353,TYW1,Q9NV66
354,DYNC1I1,O14576
355,CNTNAP2,Q9UHC6
356,NEIL2,Q969S2
357,HGSNAT,Q68CP4
358,CA13,Q8N1Q1
359,CPQ,Q9Y646
360,ERCC6L2,Q5T890
361,INVS,Q9Y283
362,CDK16,Q00536
363,COX7B,P24311
364,COL4A5,P29400
365,AGO3,Q9H9G7
366,ST3GAL3,Q11203
367,AMY2B,P19961
368,DISP1,Q96F81
369,IGHMBP2,P38935
370,KCNA6,P17658
371,SLC4A8,Q2Y0W8
372,MON2,Q7Z3U7
373,EXOSC8,Q96B26
374,PIBF1,Q8WXW3
375,STARD9,Q9P2P6
376,CTDSPL2,Q05D32
377,SEMA6D,Q8NFY4
378,UQCRC2,P22695
379,WWOX,Q9NZC7
380,MGAT5B,Q3V5L5
381,DTNA,Q9Y4J8
382,ARMC6,Q6NXE6
383,TMEM182,Q6ZP80
384,CSRNP3,Q8WYN3
385,SMDT1,Q9H4I9
386,MOV10L1,Q9BXT6
387,SLC6A1,P30531
388,SLC38A3,Q99624
389,PKD2,Q13563
390,SDHAF4,Q5VUM1
391,TAX1BP1,Q86VP1
392,ZNF212,Q9UDV6
393,ZNF775,Q96BV0
394,FAM66E,P0C841
395,SLC44A1,Q8WWI5
396,TMEM38B,Q9NVV0
397,RABGAP1,Q9Y3P9
398,CDC123,O75794
399,IQSEC3,Q9UPP2
400,TMEM19,Q96HH6
401,USF2,Q15853
402,RHOQ,P17081
403,PCIF1,Q9H4Z3
404,RNF13,O43567
405,PGBD1,Q96JS3
406,DFFB,O76075
407,SPATS2,Q86XZ4
408,ZNF568,Q3ZCX4
409,BRSK1,Q8TDC3
410,ZNF620,Q6ZNG0
411,LARS2,Q15031
412,ARIH2,O95376
413,PAM,P19021
414,MRPL22,Q9NWU5
415,ADRA1B,P35368
416,RARS,P54136
417,MTO1,Q9Y2Z2
418,RWDD2A,Q9UIY3
419,RUNDC3B,Q96NL0
420,OXR1,Q8N573
421,CROCC,Q5TZA2
422,HTR6,P50406
423,PIGV,Q9NUD9
424,NUDC,Q9Y266
425,MANEAL,Q5VSG8
426,ZMPSTE24,O75844
427,NFYC,Q13952
428,MPL,P40238
429,KDM4A,O75164
430,DNAJC6,O75061
431,LRRC8B,Q6P9F7
432,EPHX4,Q8IUS5
433,MOV10,Q9HCE1
434,GABPB2,Q8TAK5
435,DAP3,P51398
436,GPR137B,O60478
437,RYR2,Q92736
438,CHRM3,P20309
439,SAMD8,Q96LT4
440,RGR,P47804
441,PTEN,P60484
442,EXOC6,Q8TAG9
443,GOLGA7B,Q2TAP0
444,NOLC1,Q14978
445,GSTO1,P78417
446,WDR11,Q9BZH6
447,PWWP2B,Q6NUJ5
448,ANO5,Q75V66
449,PPP6R3,Q5H9R7
450,PLEKHB1,Q9UF11
451,CEP126,Q9P2H0
452,PTS,Q03393
453,ANKK1,Q8NFD2
454,OAF,Q86UD1
455,CCDC77,Q9BR77
456,FAR2,Q96K12
457,LRRK2,Q5S007
458,TNS2,Q63HR2
459,RAP1B,P61224
460,RAB3IP,Q96QF0
461,CNOT2,Q9NZN8
462,OTOGL,Q3ZCN5
463,ANO4,Q32M45
464,RNFT2,Q96EX2
465,MMP17,Q9ULZ9
466,DNAJC15,Q9Y5T4
467,FAM124A,Q86V42
468,TM9SF2,Q99805
469,SCFD1,Q8WVM8
470,CGRRF1,Q99675
471,ZNF410,Q86VK4
472,LIN52,Q52LA3
473,TTLL5,Q6EMB2
474,ADCK1,Q86TW2
475,SPATA7,Q9P0W8
476,PPP4R4,Q6NUP7
477,TECPR2,O15040
478,MTA1,Q13330
479,TEX9,Q8N6V9
480,PSTPIP1,O43586
481,GDPGP1,Q6ZNW5
482,ABAT,P80404
483,SNX29,Q8TEQ0
484,HS3ST2,Q9Y278
485,NDRG4,Q9ULP0
486,USP10,Q14694
487,CCDC144CP,Q8IYA2
488,NPEPPS,P55786
489,MSI2,Q96DH6
490,RBBP8,Q99708
491,CTIF,O43310
492,ATP9B,O43861
493,MADCAM1,Q13477
494,FZR1,Q9UM11
495,CCDC130,P13994
496,CRTC1,Q6UUV9
497,ZNF254,O75437
498,ZNF284,Q2VY69
499,TRAPPC12,Q8WVT3
500,ASAP2,O43150
501,RMDN2,Q96LZ7
502,ALMS1,Q8TCU4
503,ANKRD36,A6QL64
504,MERTK,Q12866
505,CBWD2,Q8IUF1
506,FMNL2,Q96PY5
507,FAM171B,Q6P995
508,INPP1,P49441
509,PTH2R,P49190
510,GPR35,Q9HC97
511,ING5,Q8WYH8
512,SMOX,Q9NWM0
513,KIZ,Q2M2Z5
514,TM9SF4,Q92544
515,RPN2,P04844
516,FAM209B,Q5JX69
517,TPD52L2,O43399
518,USP16,Q9Y5T5
519,KCTD17,Q8N5Z5
520,SLC6A11,P48066
521,DZIP3,Q86Y13
522,FAM162A,Q96A26
523,NEK11,Q8NG66
524,TRPC1,P48995
525,MFSD1,Q9H3U5
526,SENP2,Q9HC62
527,SLC30A9,Q6PML9
528,PDGFRA,P16234
529,SRP72,O76094
530,CCSER1,Q9C0I3
531,KIAA1109,Q2LD37
532,ETFDH,Q16134
533,CPE,P16870
534,FRG1,Q14331
535,ICE1,Q9Y2F5
536,ZNF131,P52739
537,NNT,Q13423
538,THBS4,P35443
539,UBE2B,P63146
540,CTNNA1,P35221
541,IK,Q13123
542,GRIA1,P42261
543,CPLX2,Q6PUV4
544,UBR2,Q8IWV8
545,ABCC10,Q5T3U5
546,EFHC1,Q5JVL4
547,ORC3,Q9UBD5
548,TSTD3,H0UI37
549,GRIK2,Q13002
550,NT5DC1,Q5TFE4
551,C1GALT1,Q9NS00
552,AVL9,Q8NBF6
553,RALA,P11233
554,LANCL2,Q9NS86
555,ZNF138,P52744
556,POM121,Q96HA1
557,CROT,Q9UKG9
558,ARPC1B,O15143
559,BUD31,P41223
560,AP4M1,O00189
561,KMT2E,Q8IZD2
562,ST7,Q9NRC1
563,AHCYL2,Q96HN2
564,TUSC3,Q13454
565,PPP2R2A,P63151
566,CSPP1,Q1MSJ5
567,PKIA,P61925
568,RIPK2,O43353
569,DENND3,A2RUS2
570,RIC1,Q4ADV7
571,CHMP5,Q9NZZ3
572,ANKRD18B,A2A2Z9
573,TRMT10B,Q6PF06
574,HABP4,Q5JVS0
575,LHX2,P50458
576,NTNG2,Q96CW9
577,CCDC183,Q5T5S1
578,TMCC2,O75069
579,GALNT2,Q10471
580,WDR64,B1ANS9
581,CCNY,Q8ND76
582,DNAJC24,Q6P3W2
583,SDHAF2,Q9NX18
584,SPCS2,Q15005
585,EED,O75530
586,TBK1,Q9UHD2
587,YLPM1,P49750
588,CHRNA7,P36544
589,CORO2B,Q9UQ03
590,ZNF720,Q7Z2F6
591,LPCAT2,Q7L5N7
592,BANP,Q8N9N5
593,UBR3,Q6ZT12
594,CREB1,P16220
595,SYNDIG1,Q9H7V2
596,DDX27,Q96GQ7
597,AP1AR,Q63HQ0
598,SLC25A48,Q6ZT89
599,FAM120B,Q96EK7
600,GARS,P41250
601,RINT1,Q6NUQ1
602,ATP6V1F,Q16864
603,SPIN1,Q9Y657
604,FRMPD4,Q14CM0
605,LMNA,P02545
606,C11orf80,Q8N6T0
607,HADHB,P55084
608,PRKCZ,Q05513
609,AZIN2,Q96A70
610,PRKACB,P22694
611,REEP3,Q6NUK4
612,C11orf58,O00193
613,NCKAP1L,P55160
614,PHF11,Q9UIL8
615,ARHGEF7,Q14155
616,CHD2,O14647
617,SGF29,Q96ES7
618,NT5M,Q9NPB1
619,ASPSCR1,Q9BZE9
620,PPP1CB,P62140
621,NCK2,O43639
622,SLC20A1,Q8WUM9
623,DPP10,Q8N608
624,DDX18,Q9NVP1
625,DYNC1I2,Q13409
626,ACSS2,Q9NR19
627,OGG1,O15527
628,GRAMD1C,Q8IYS0
629,NWD2,Q9ULI1
630,WDR19,Q8NEZ3
631,PAICS,P22234
632,WWC2,Q6AWC2
633,VPS50,Q96JG6
634,ARMC10,Q8N2F6
635,PTPDC1,A2A3K4
636,TARDBP,Q13148
637,MAST2,Q6P0Q8
638,POU2F1,P14859
639,FBXO28,Q9NVF7
640,SYT9,Q86SS6
641,DYNC2H1,Q8NCM8
642,NTM,Q9P121
643,TMEM117,Q9H0C3
644,DYNLL1,P63167
645,PCCA,P05165
646,RNF31,Q96EP0
647,MIPOL1,Q8TD10
648,KIAA0586,Q9BVV6
649,PSEN1,P49768
650,VASH1,Q7L8A9
651,RAB8B,Q92930
652,ARIH1,Q9Y4X5
653,WHAMM,Q8TF30
654,DDX19A,Q9NUU7
655,XAF1,Q6GPH4
656,KMT2B,Q9UMN6
657,TTC27,Q6P3X3
658,ACTR3,P61158
659,ARL6IP6,Q8N6S5
660,PHF20,Q9BVI0
661,EDN3,P14138
662,PPARA,Q07869
663,LMCD1,Q9NZU5
664,SMIM20,Q8N5G0
665,ATP10D,Q9P241
666,ADGRL3,Q9HAR2
667,FAM47E-STBD1,D6RA91
668,FAM47E-STBD1,F6W5V1
669,C4orf33,Q8N1A6
670,CKMT2,P17540
671,DAAM2,Q86T65
672,FAM135A,Q9P2D6
673,UTRN,P46939
674,IQCE,Q6IPM2
675,ANLN,Q9NQW6
676,PTPRZ1,P23471
677,NUP205,Q92621
678,HMBOX1,Q6NT76
679,TMEM67,Q5HYA8
680,INTS8,Q75QN2
681,HGH1,Q9BTY7
682,ZSWIM8,A7E2V4
683,SLCO1C1,Q9NYB5
684,MAP4K4,O95819
685,CARF,Q8N187
686,RAMP1,O60894
687,PLCB4,Q15147
688,ABCG1,P45844
689,ATXN10,Q9UBB4
690,PLS1,Q14651
691,KPNA5,O15131
692,EXOC4,Q96A65
693,RALYL,Q86SE5
694,SMARCA2,P51531
695,MRRF,Q96E11
696,FAAH2,Q6GMR7
697,MTM1,Q13496
698,RGL1,Q9NZL6
699,PLA2G4A,P47712
700,CNIH3,Q8TBE1
701,EDRF1,Q3B7T1
702,MDM2,Q00987
703,METAP2,P50579
704,NEDD1,Q8NHV4
705,RIC8B,Q9NVN3
706,ZNF268,Q14587
707,WASF3,Q9UPY6
708,SERP2,Q8N6R1
709,AKAP6,Q13023
710,ACTR10,Q9NZ32
711,UNC45A,Q9H3U1
712,RABEP1,Q15276
713,TLK2,Q86UE8
714,SMCHD1,A6NHR9
715,PLEKHH2,Q8IVE3
716,C2orf15,Q8WU43
717,PTPN4,P29074
718,ACTR5,Q9H9F9
719,RTEL1-TNFRSF6B,D6RA96
720,PCNT,O95613
721,MGAT3,Q09327
722,ADSL,P30566
723,NISCH,Q9Y2I1
724,USP13,Q92995
725,ARFIP1,P53367
726,WDR17,Q8IZU2
727,SIMC1,Q8NDZ2
728,HDAC9,Q9UKV0
729,PPIA,P62937
730,TBC1D12,O60347
731,SPATA13,Q96N96
732,TRMT61A,Q96FX7
733,KNSTRN,Q9Y448
734,TADA2A,O75478
735,CEP95,Q96GE4
736,NCAN,O14594
737,TTLL4,Q14679
738,CEP44,Q9C0F1
739,KLKB1,P03952
740,ADAM9,Q13443
741,XKR9,Q5GH70
742,DNM1,Q05193
743,PRRC2B,Q5JSZ5
744,CMPK1,P30085
745,SGIP1,Q9BQI5
746,LRRC7,Q96NW7
747,KIF1BP,Q96EK5
748,SMC3,Q9UQE7
749,PDHX,O00330
750,ETNK1,Q9HBU6
751,ANO6,Q4KMQ2
752,USP15,Q9Y4E8
753,ZDHHC17,Q8IUH5
754,NOC4L,Q9BVI4
755,PAN3,Q58A45
756,NBEA,Q8NFP9
757,SUGT1,Q9Y2Z0
758,GNG2,P59768
759,RCN2,Q14257
760,FAM234A,Q9H0X4
761,NKD1,Q969G9
762,SYCE1L,A8MT33
763,ARSG,Q96EG1
764,MYO15B,Q96JP2
765,BAIAP2,Q9UQB8
766,EMILIN2,Q9BXX0
767,PRKCSH,P14314
768,COLGALT1,Q8NBJ5
769,ZNF90,Q03938
770,FXYD7,P58549
771,MARK4,Q96L34
772,ZNF8,P17098
773,RAB10,P61026
774,RANBP2,P49792
775,PDK1,Q15118
776,CPS1,P31327
777,RNF114,Q9Y508
778,INPP5J,Q15735
779,ARPC4-TTLL3,A0A0A6YYG9
780,ARPC4-TTLL3,F8WCF6
781,ARPC4-TTLL3,F8WE39
782,ARPC4-TTLL3,H7C0A3
783,TSEN2,Q8NCE0
784,ACKR2,O00590
785,ZBTB38,Q8NAP3
786,SERPINI1,Q99574
787,RPL35A,P18077
788,ANXA3,P12429
789,PDLIM5,Q96HC4
790,METTL14,Q9HCE5
791,NAA15,Q9BXJ9
792,SQSTM1,Q13501
793,FBXO9,Q9UK97
794,AIG1,Q9NVV5
795,TACC1,O75410
796,UHRF2,Q96PU4
797,C9orf85,Q96MD7
798,GALNT12,Q8IXK2
799,MAGED1,Q9Y5V3
800,DNM3,Q9UQ16
801,SFXN2,Q96NB2
802,LAMA3,Q16787
803,BCKDHA,P12694
804,TTC7A,Q9ULT0
805,PILRB,Q9UKJ0
806,MAL2,Q969L2
807,PAK3,O75914
808,UBE4B,O95155
809,THRAP3,Q9Y2W1
810,PTBP2,Q9UKA9
811,RAP1A,P62834
812,SLC22A15,Q8IZD6
813,NBPF20,P0DPF2
814,PPOX,P50336
815,TOR1AIP1,Q5JTV8
816,CSGALNACT2,Q8N6G5
817,MYRF,Q9Y2G1
818,PACS1,Q6VY07
819,ERC1,Q8IUD2
820,ATF7IP,Q6VMQ6
821,MRPS35,P82673
822,TMTC3,Q6ZXV5
823,FBXW8,Q8N3Y1
824,BRCA2,P51587
825,TPP2,P29144
826,FAM177A1,Q8N128
827,TMEM260,Q9NX78
828,ARID4A,P29374
829,FUT8,Q9BYC5
830,MARK3,P27448
831,ZFYVE19,Q96K21
832,TCF12,Q99081
833,MAP2K5,Q13163
834,ADAMTSL3,P82987
835,TSC2,P49815
836,SH2B1,Q9NRF2
837,ZFP1,Q6P2D0
838,CDH13,P55290
839,NECAB2,Q7Z6G3
840,GGNBP2,Q9H3C7
841,RUNDC3A,Q59EK9
842,TANC2,Q9HCD6
843,VAPA,Q9P0L0
844,FHOD3,Q2V2M9
845,GPI,P06744
846,TBCB,Q99426
847,CYP2G1P,Q6ZSU1
848,POLD1,P28340
849,ZNF512,Q96ME7
850,LBH,Q53QV2
851,CAMKMT,Q7Z624
852,ACTR2,P61160
853,UBXN4,Q92575
854,DNAJC10,Q8IXB1
855,CRLS1,Q9UJA2
856,CFAP61,Q8NHU2
857,PYGB,P11216
858,RBM11,P57052
859,BACE2,Q9Y5Z0
860,MX1,P20591
861,SFI1,A8K8P3
862,SLMAP,Q14BN4
863,NCK1,P16333
864,LRCH3,Q96II8
865,SEC24B,O95487
866,MGST2,Q99735
867,STK31,Q9BXU1
868,ZSCAN21,Q9Y5A6
869,VPS37A,Q8NEZ2
870,ADAM28,Q9UKQ2
871,ELP3,Q9H9T3
872,FZD3,Q9NPG1
873,GLIPR2,Q9H4G4
874,GSN,P06396
875,CCDC22,O60826
876,STARD8,Q92502
877,SH3BGRL,O75368
878,CENPI,Q92674
879,NSDHL,Q15738
880,VBP1,P61758
881,GLIPR1L2,Q4G1C9
882,FLYWCH1,Q4VC44
883,MAP2,P11137
884,ANO7,Q6IWH7
885,DYNLRB1,Q9NP97
886,DLGAP4,Q9Y2H0
887,TCAIM,Q8N3R3
888,ESYT3,A0FGR9
889,CDC7,O00311
890,TEX26,Q8N6G2
891,ABTB1,Q969K4
892,KHDRBS3,O75525
893,UVRAG,Q9P2Y5
894,ARHGEF12,Q9NZN5
895,PHC1,P78364
896,RBMS2,Q15434
897,ADCY7,P51828
898,KIAA1328,Q86T90
899,MAPK4,P31152
900,ARFGAP1,Q8N6T3
901,GMPS,P49915
902,GUSBP1,Q15486
903,C5orf22,Q49AR2
904,TCERG1,O14776
905,PPARD,Q03181
906,CCDC28A,Q8IWP9
907,DNAJB6,O75190
908,NPM2,Q86SE8
909,BNIP3L,O60238
910,IDNK,Q5T6J7
911,TMOD1,P28289
912,RAB18,Q9NP72
913,WAC,Q9BTA9
914,MADD,Q8WXG6
915,NADSYN1,Q6IA69
